Transaction_ID,Customer_ID,Account_Type,Total_Balance,Transaction_Amount,Investment_Amount,Investment_Type,Transaction_Date,Year,Month,Month_Name
300232,207378,Savings,47608,3595.0,33597,Mutual Fund,2022-06-20,2022,6,June
300233,207892,Current,26169,3246.0,32389,Recurring Deposit,2023-03-11,2023,3,March
300234,201604,Current,36353,2695.2413084457903,44345,Mutual Fund,2022-07-03,2022,7,July
300235,209876,Savings,91621,447.0,43476,Recurring Deposit,2022-05-08,2022,5,May
300236,202536,Current,20952,3801.0,47912,Fixed Deposit,2023-08-16,2023,8,August
300237,209471,Savings,70145,4658.0,2385,Fixed Deposit,2022-07-09,2022,7,July
300238,202899,Business,66848,1893.7966336151444,16535,Recurring Deposit,2024-05-27,2024,5,May
300239,205861,Savings,53343,939.0,46679,Mutual Fund,2023-03-25,2023,3,March
300240,205278,Business,78021,4905.0,25144,Fixed Deposit,2023-05-27,2023,5,May
300241,200868,Savings,86582,3139.0,32943,Fixed Deposit,2025-01-23,2025,1,January
300242,203013,Savings,99286,534.0,9465,Recurring Deposit,2024-04-13,2024,4,April
300243,203310,Savings,8208,1087.0,49288,Recurring Deposit,2023-02-16,2023,2,February
300244,200682,Current,47747,2013.0,47685,Recurring Deposit,2024-07-05,2024,7,July
300245,201461,Current,23516,3425.0,38384,Recurring Deposit,2022-10-12,2022,10,October
300246,203829,Current,96634,3108.0,19099,Recurring Deposit,2024-08-24,2024,8,August
300247,200145,Current,60392,385.0,4082,Fixed Deposit,2024-09-01,2024,9,September
300248,201974,Business,29705,4139.0,20907,Recurring Deposit,2024-03-24,2024,3,March
300249,205627,Savings,14157,1675.0,25065,Mutual Fund,2023-04-02,2023,4,April
300250,201820,Business,65855,728.0,28418,Recurring Deposit,2024-03-24,2024,3,March
300251,206267,Savings,93584,3697.0,8569,Mutual Fund,2023-12-13,2023,12,December
300252,207868,Savings,90943,4751.0,3404,Fixed Deposit,2023-01-10,2023,1,January
300253,206962,Business,47846,4927.0,11913,Fixed Deposit,2022-08-14,2022,8,August
300254,206475,Savings,18993,4869.0,17821,Recurring Deposit,2022-08-18,2022,8,August
300255,208796,Current,38379,266.0,42994,Fixed Deposit,2025-01-07,2025,1,January
300256,206332,Current,14332,2791.0,40158,Fixed Deposit,2024-01-19,2024,1,January
300257,201606,Business,14119,1534.0,2473,Mutual Fund,2023-09-22,2023,9,September
300258,204239,Business,97409,4493.0,46342,Fixed Deposit,2024-01-08,2024,1,January
300259,201547,Business,16205,3310.0,42899,Recurring Deposit,2023-12-19,2023,12,December
300260,206973,Current,44251,3033.0,29727,Fixed Deposit,2024-03-15,2024,3,March
300261,202772,Savings,72630,3477.0,1344,Fixed Deposit,2022-06-13,2022,6,June
300262,201987,Business,96127,664.0,8401,Mutual Fund,2025-01-30,2025,1,January
300263,209577,Savings,76273,2308.935808365653,1146,Mutual Fund,2024-12-30,2024,12,December
300264,202896,Savings,59978,1450.0,44295,Recurring Deposit,2024-12-18,2024,12,December
300265,206975,Business,16824,689.0,30091,Fixed Deposit,2022-08-20,2022,8,August
300266,208174,Business,9223,3040.0,22062,Fixed Deposit,2022-06-23,2022,6,June
300267,209137,Current,3632,2992.0,37493,Mutual Fund,2023-12-06,2023,12,December
300268,209497,Business,52614,553.0,32404,Fixed Deposit,2023-08-30,2023,8,August
300269,206582,Current,7376,3806.0,25832,Mutual Fund,2022-09-06,2022,9,September
300270,208350,Current,24042,3692.0,12443,Recurring Deposit,2023-04-11,2023,4,April
300271,206013,Savings,33871,2337.0,24713,Mutual Fund,2023-01-12,2023,1,January
300272,201350,Current,7178,1094.0,41847,Recurring Deposit,2023-01-10,2023,1,January
300273,207684,Savings,99930,982.0,4934,Fixed Deposit,2024-07-01,2024,7,July
300274,207057,Current,40221,659.0,45673,Fixed Deposit,2024-02-15,2024,2,February
300275,209846,Business,97972,4541.0,19621,Mutual Fund,2022-10-24,2022,10,October
300276,207985,Savings,61245,679.0,30515,Recurring Deposit,2024-01-05,2024,1,January
300277,205875,Business,49239,959.0,48502,Mutual Fund,2022-12-31,2022,12,December
300278,207280,Savings,27009,1534.0,49591,Fixed Deposit,2023-05-27,2023,5,May
300279,203030,Current,95802,3030.0,32503,Mutual Fund,2024-03-08,2024,3,March
300280,200675,Savings,53445,2474.0,8067,Fixed Deposit,2023-04-13,2023,4,April
300281,200368,Business,74057,1436.0,12909,Mutual Fund,2022-07-16,2022,7,July
300282,206770,Savings,13955,4549.0,7938,Recurring Deposit,2024-02-07,2024,2,February
300283,209395,Business,82660,1114.0,10936,Recurring Deposit,2024-07-22,2024,7,July
300284,203360,Savings,41673,795.0,45938,Recurring Deposit,2022-08-20,2022,8,August
300285,201471,Current,56535,4717.0,30324,Mutual Fund,2022-06-07,2022,6,June
300286,205351,Savings,70232,3115.0,42548,Fixed Deposit,2024-12-28,2024,12,December
300287,201348,Business,83298,4451.0,38191,Mutual Fund,2024-07-07,2024,7,July
300288,203016,Current,86135,3850.0,41984,Fixed Deposit,2022-04-12,2022,4,April
300289,200669,Savings,95127,3914.0,25187,Recurring Deposit,2022-08-12,2022,8,August
300290,205727,Current,87258,4980.0,15890,Recurring Deposit,2023-03-23,2023,3,March
300291,201254,Business,44487,4277.0,16659,Mutual Fund,2022-12-04,2022,12,December
300292,202008,Current,70456,1349.0,3003,Fixed Deposit,2023-12-12,2023,12,December
300293,200826,Business,18099,1094.0,40379,Fixed Deposit,2024-04-13,2024,4,April
300294,202311,Savings,14323,1446.0,17681,Fixed Deposit,2024-04-06,2024,4,April
300295,208641,Business,4641,943.0,30594,Mutual Fund,2023-02-16,2023,2,February
300296,208740,Business,24334,775.0,20087,Fixed Deposit,2023-12-03,2023,12,December
300297,201634,Business,22253,262.0,7519,Mutual Fund,2022-06-20,2022,6,June
300298,207908,Business,94191,4313.0,43511,Recurring Deposit,2022-12-01,2022,12,December
300299,203669,Savings,58413,2771.0,32789,Recurring Deposit,2023-10-30,2023,10,October
300300,209830,Business,26949,958.0,16875,Recurring Deposit,2022-03-24,2022,3,March
300301,204719,Business,72740,511.0,4586,Recurring Deposit,2023-11-17,2023,11,November
300302,204448,Savings,86245,1949.0,5445,Mutual Fund,2023-05-06,2023,5,May
300303,201007,Business,68922,2614.0,29946,Mutual Fund,2024-02-25,2024,2,February
300304,201010,Savings,73541,670.0,28932,Mutual Fund,2023-06-07,2023,6,June
300305,207664,Savings,23488,3208.0,19933,Recurring Deposit,2024-01-07,2024,1,January
300306,202800,Business,36119,3275.0,44888,Recurring Deposit,2025-03-07,2025,3,March
300307,208501,Current,43861,3919.0,6355,Fixed Deposit,2024-07-31,2024,7,July
300308,207727,Savings,36434,3721.0,47656,Mutual Fund,2025-01-12,2025,1,January
300309,207528,Savings,39263,1093.0,5372,Fixed Deposit,2024-04-15,2024,4,April
300310,208347,Current,72963,2816.8814138384146,30408,Recurring Deposit,2022-11-16,2022,11,November
300311,209828,Current,77833,1267.0,17906,Fixed Deposit,2023-01-09,2023,1,January
300312,205057,Business,16672,922.0,17994,Recurring Deposit,2023-06-24,2023,6,June
300313,204461,Current,78378,4445.0,47499,Fixed Deposit,2023-02-22,2023,2,February
300314,203152,Savings,50433,487.0,5134,Mutual Fund,2022-06-19,2022,6,June
300315,207807,Current,44710,2898.0,26137,Recurring Deposit,2024-09-05,2024,9,September
300316,207838,Savings,42621,3466.0,20227,Mutual Fund,2024-07-10,2024,7,July
300317,203130,Business,75207,146.0,3067,Mutual Fund,2022-06-23,2022,6,June
300318,209452,Current,7762,703.0,35470,Fixed Deposit,2023-07-21,2023,7,July
300319,204567,Current,42508,3860.0,30162,Recurring Deposit,2022-06-17,2022,6,June
300320,205534,Business,75370,1161.0,14720,Fixed Deposit,2022-06-06,2022,6,June
300321,204469,Business,59331,1185.0,35686,Mutual Fund,2024-09-13,2024,9,September
